Fill,6
7,7,5
1,8,17
7,7,6
5,8,18
0,7,7
1,8,15
0,7,8
1,8,16
0,7,9
4,8,10
4,8,13
1,8,14
4,8,11
4,8,12
0,21,4
0,21,3
0,21,2
5,21,1
6,21,9
2,21,8
4,21,7
4,21,6
4,21,5
5,-1,-6
7,-1,-5
2,27,14
2,27,15
2,27,12
2,27,13
1,27,18
1,27,19
2,27,16
1,27,17
1,6,0
1,32,9
1,6,1
1,32,8
1,27,10
7,-1,-2
1,6,2
2,27,11
1,32,7
7,-1,-1
7,6,3
7,6,4
7,-1,-4
5,32,6
7,6,5
7,-1,-3
7,6,6
5,6,7
5,6,8
5,6,9
1,26,19
4,20,5
2,26,12
4,20,4
2,26,11
0,20,3
2,26,14
0,20,2
2,26,13
2,26,16
5,20,1
2,26,15
1,26,18
2,26,17
6,20,9
2,20,8
2,20,7
2,26,10
4,20,6
4,15,14
5,9,18
0,15,13
0,15,12
1,9,16
0,15,11
1,9,17
1,15,18
1,15,17
1,15,16
4,15,15
4,9,10
4,9,11
0,15,10
4,9,14
1,9,15
4,9,12
4,9,13
5,31,5
5,31,4
1,5,0
1,5,1
7,5,2
5,15,19
1,31,9
7,5,3
1,31,8
7,5,4
1,31,7
7,5,5
5,26,21
7,5,6
1,26,20
5,31,6
0,14,12
1,5,7
0,14,13
1,5,8
0,14,10
1,5,9
0,14,11
1,14,16
1,14,17
4,14,14
4,14,15
5,25,21
5,14,18
5,14,19
1,25,20
5,-7,3
5,-7,2
5,-7,4
0,30,6
0,30,5
5,0,-5
5,30,4
5,0,-6
5,30,3
7,0,-3
5,30,2
7,0,-4
7,0,-1
7,0,-2
1,4,0
1,4,1
7,4,2
5,-7,1
7,4,3
7,4,4
1,30,9
7,4,5
0,30,8
1,4,6
0,30,7
1,4,7
1,4,8
1,4,9
5,-6,4
2,-6,3
1,25,19
1,25,18
2,1,-1
6,25,11
2,25,10
6,25,13
6,25,12
6,25,15
6,25,14
2,25,17
2,25,16
0,3,0
0,3,1
5,-6,0
7,3,2
7,3,3
2,-6,2
7,3,4
5,-6,1
1,3,5
1,3,6
1,3,7
1,3,8
1,18,18
1,3,9
1,18,19
4,18,14
4,18,15
1,18,16
1,18,17
2,18,10
5,30,20
2,18,11
2,18,12
5,0,11
2,18,13
5,30,21
1,0,10
2,1,-4
5,1,-5
2,1,-2
5,-2,11
2,1,-3
5,-2,10
1,29,20
5,29,21
5,-5,5
5,-5,4
5,18,21
3,30,11
3,30,10
5,18,20
1,30,17
5,30,16
5,30,19
1,30,18
1,30,13
3,30,12
5,30,15
0,2,0
5,30,14
0,2,1
0,2,2
2,-5,1
0,2,3
2,-5,0
2,-5,3
0,2,4
2,-5,2
0,2,5
7,2,6
7,2,7
0,2,8
0,2,9
2,2,-2
5,17,20
2,2,-1
2,-4,-2
2,-4,-3
2,-4,-1
2,-4,-4
5,-4,-5
5,-4,5
1,1,10
5,1,11
1,29,17
1,29,16
5,29,15
1,29,14
5,-3,10
2,1,0
5,2,-5
1,29,19
0,1,1
2,2,-4
1,29,18
0,1,2
2,2,-3
0,1,3
2,-4,2
2,-4,1
0,1,4
1,-4,4
7,1,5
2,-4,3
7,1,6
1,29,13
7,1,7
1,29,12
7,1,8
3,29,11
2,-4,0
0,1,9
1,29,10
5,-2,-6
1,28,15
1,28,16
1,28,13
1,28,14
1,28,19
1,28,17
1,28,18
7,-2,-1
1,28,11
7,-2,-3
1,28,12
7,-2,-2
5,-2,-5
1,28,10
7,-2,-4
1,17,17
1,17,18
5,17,19
6,19,9
2,19,8
2,19,7
0,17,13
5,-3,7
4,19,6
4,17,14
5,-3,6
4,19,5
4,17,15
5,-3,9
4,19,4
1,17,16
5,-3,8
2,3,-3
2,17,10
2,3,-2
2,17,11
2,3,-1
2,17,12
2,0,0
2,0,1
0,0,2
1,-1,10
0,0,3
0,19,3
2,-3,3
7,0,4
0,19,2
2,-3,2
7,0,5
5,-1,11
0,0,6
5,-3,5
5,19,1
1,-3,4
0,0,7
7,0,8
7,0,9
2,-3,1
1,28,20
2,-3,0
5,28,21
4,16,15
4,16,14
0,16,13
0,16,12
5,16,19
1,16,18
1,16,17
1,16,16
0,16,11
0,16,10
5,2,11
1,2,10
5,3,-5
2,3,-4
5,27,21
1,27,20
2,18,9
2,18,8
1,-2,8
2,18,7
1,-2,7
0,18,6
4,18,5
1,-2,9
4,18,4
1,-2,4
0,18,3
2,-2,3
0,18,2
2,-3,-2
1,-2,6
2,-3,-1
1,-2,5
5,18,1
2,-2,0
2,-3,-4
2,-3,-3
2,-2,2
2,-2,1
5,-3,-5
1,29,9
0,29,8
0,10,10
1,4,-1
0,29,7
0,10,11
1,4,-2
0,29,6
0,10,12
1,4,-3
3,29,5
4,10,13
5,4,-4
1,33,13
1,33,14
1,33,11
1,33,12
1,33,10
5,-6,-1
5,33,17
5,33,18
1,33,15
5,33,16
3,29,4
4,10,14
3,29,3
4,10,15
1,10,16
5,29,2
1,10,17
5,29,1
5,21,21
1,21,20
5,10,18
2,17,9
1,-1,9
0,17,8
0,-1,8
0,17,7
0,17,6
5,3,11
1,3,10
4,17,5
1,-1,5
5,4,-5
4,17,4
1,-1,4
0,17,3
1,-1,7
0,17,2
1,-1,6
2,-1,1
5,17,1
7,-1,0
2,-1,3
2,-1,2
0,28,9
0,28,8
0,28,7
0,28,6
3,28,5
3,28,4
3,28,3
3,28,2
5,28,1
1,21,19
1,21,18
1,5,-1
2,21,17
1,5,-2
2,21,16
0,16,9
5,5,-3
6,21,15
0,16,8
5,5,-4
6,21,14
0,16,7
1,32,12
1,32,13
1,32,10
1,32,11
5,32,18
5,32,19
1,32,16
1,32,17
1,32,14
1,32,15
6,21,13
0,16,6
4,16,5
5,11,-1
6,21,12
6,21,11
4,16,4
6,21,10
0,16,3
0,16,2
5,16,1
5,4,11
1,20,19
1,20,18
2,20,17
2,20,16
4,20,15
0,27,9
2,20,14
7,27,8
6,20,13
7,27,7
5,19,21
1,19,20
1,4,10
7,27,6
6,20,12
7,27,5
5,10,-1
6,20,11
3,27,4
6,20,10
3,27,3
3,27,2
5,27,1
0,15,9
0,15,8
0,15,7
5,-5,-3
0,15,6
5,-5,-4
4,15,5
5,-5,-1
5,20,21
4,15,4
1,20,20
5,-5,-2
0,15,3
5,15,2
5,-5,-5
5,15,1
5,15,0
5,6,-2
1,6,-1
5,6,-3
2,26,9
0,26,8
1,31,10
1,31,12
3,31,11
1,31,18
1,31,17
5,31,19
5,31,14
1,31,13
1,31,16
5,31,15
0,26,7
0,26,6
3,26,5
3,26,4
3,26,3
3,26,2
5,26,1
5,5,12
1,19,19
5,5,13
5,5,14
2,19,16
4,19,15
1,19,18
3,14,9
1,19,17
6,19,12
6,19,11
4,19,14
2,19,13
1,5,10
6,19,10
5,5,11
5,14,0
0,14,8
0,14,7
4,14,6
4,14,5
4,14,4
0,14,3
5,14,2
3,14,1
2,25,9
2,24,17
1,24,18
1,24,19
6,24,10
6,24,11
6,24,12
6,24,13
6,24,14
6,24,15
2,24,16
2,25,8
0,25,7
0,25,6
3,25,5
3,25,4
3,25,3
0,25,2
5,25,1
3,13,11
1,7,-1
3,13,12
0,13,10
5,7,-2
4,13,15
1,13,16
0,13,13
4,13,14
1,13,1
1,24,20
5,13,0
5,24,21
3,13,9
3,13,8
0,13,7
1,13,17
4,13,6
5,13,18
4,13,5
0,13,4
0,13,3
5,13,2
5,6,14
0,6,13
3,12,11
0,12,10
5,6,15
0,12,13
3,12,12
4,12,15
4,12,14
5,6,10
0,6,12
5,6,11
5,24,1
1,23,20
5,23,21
2,24,9
1,12,17
2,24,8
1,12,16
2,24,7
0,24,6
5,12,18
0,24,5
0,24,4
0,24,3
0,24,2
5,12,2
1,12,1
5,12,0
0,12,9
0,12,8
0,12,7
4,12,6
4,12,5
1,9,0
0,12,4
5,9,1
0,12,3
3,9,2
3,9,3
3,9,4
0,9,5
5,8,-1
0,9,6
5,8,-2
4,9,7
4,9,8
4,9,9
0,23,2
5,23,1
6,23,9
2,23,8
2,23,7
0,23,6
0,23,5
0,23,4
0,23,3
5,7,15
1,7,14
5,7,17
5,7,16
5,7,18
2,23,16
5,34,14
2,23,17
5,34,15
1,23,18
5,34,12
1,23,19
5,34,13
0,7,11
5,34,10
0,7,10
5,34,11
0,7,13
0,7,12
3,11,3
5,11,2
6,23,10
1,11,1
6,23,11
1,11,0
6,23,12
6,23,13
5,34,16
6,23,14
6,23,15
5,34,9
0,11,9
5,34,8
0,11,8
4,11,7
1,8,0
0,34,6
4,11,6
5,8,1
4,11,5
5,8,2
0,11,4
0,8,3
0,8,4
0,8,5
0,8,6
0,8,7
1,22,19
4,8,8
1,22,18
2,22,17
4,8,9
2,22,16
5,12,-1
6,22,15
0,22,3
0,22,2
5,22,1
6,22,14
6,22,13
6,22,12
6,22,9
4,22,8
6,22,11
6,22,10
4,22,7
4,22,6
4,22,5
0,22,4
0,11,10
0,11,12
0,11,11
4,11,14
0,11,13
5,9,-1
3,10,3
3,10,4
5,10,1
5,10,2
1,10,0
1,11,16
4,11,15
0,10,9
1,33,9
5,11,18
1,11,17
1,7,0
5,33,8
4,10,7
1,7,1
5,33,7
5,22,21
4,10,8
5,7,2
1,22,20
5,33,6
0,10,5
5,7,3
7,7,4
4,10,6
