3,7,5
7,7,6
7,7,7
7,7,8
3,29,9
7,10,10
7,7,9
3,29,8
1,10,11
3,29,7
1,10,12
3,29,6
1,10,13
2,8,10
0,33,10
7,21,4
7,21,3
1,21,9
1,21,8
0,21,7
3,21,6
6,21,5
6,17,9
0,17,8
0,17,7
7,17,6
2,27,14
2,27,15
2,27,12
2,27,13
6,27,16
6,27,17
3,17,5
5,17,4
5,17,3
7,17,2
0,32,9
6,27,10
0,32,8
0,17,1
3,6,3
2,27,11
3,6,4
3,6,5
3,6,6
7,28,9
3,28,8
3,28,7
3,28,6
5,20,5
2,26,12
5,20,4
2,26,11
7,20,3
2,26,14
7,20,2
2,26,13
6,26,16
2,26,15
6,26,17
0,20,9
1,20,8
1,20,7
6,26,10
3,20,6
0,15,14
1,15,13
1,15,12
0,15,11
0,21,18
6,16,9
6,16,8
3,16,7
1,21,14
1,9,10
0,32,12
1,9,11
0,32,13
0,32,10
0,32,11
0,15,10
0,32,16
0,32,14
0,32,15
1,21,13
2,16,6
1,21,12
3,16,5
1,21,11
5,16,4
1,21,10
4,16,3
7,16,2
0,31,9
3,5,4
0,31,8
3,5,5
3,5,6
1,14,12
0,14,13
7,14,10
0,20,18
1,14,11
3,27,9
1,20,14
0,14,14
3,27,8
1,20,13
3,27,7
0,20,12
3,27,6
0,20,11
0,20,10
6,15,9
6,15,8
7,15,7
2,15,6
3,15,5
5,15,4
4,15,3
4,15,2
0,30,9
1,4,5
6,15,1
0,30,8
1,4,6
3,30,7
1,4,7
3,26,9
3,26,8
0,31,10
0,31,12
0,31,11
6,31,17
0,31,14
0,31,13
0,31,16
6,31,15
3,26,7
0,19,18
3,14,9
0,19,12
0,37,8
0,19,11
0,37,9
0,19,14
1,19,13
0,19,10
0,36,10
6,25,11
6,25,10
2,25,13
2,25,12
0,37,3
6,25,15
2,25,14
0,37,5
6,25,17
0,37,6
6,25,16
0,37,7
3,14,8
3,14,7
7,14,6
6,14,5
5,14,4
1,3,5
4,14,3
7,3,6
4,14,2
1,3,7
6,14,1
0,18,14
0,18,15
0,18,16
0,18,10
6,24,17
0,18,11
0,18,12
1,18,13
6,24,10
6,24,11
6,24,12
6,24,13
6,24,14
6,24,15
6,24,16
0,25,4
1,13,11
1,13,12
7,13,10
0,13,13
3,13,14
2,30,11
6,30,10
4,13,1
6,30,17
6,30,16
2,30,13
2,30,12
2,30,15
2,30,14
3,13,9
0,36,8
2,13,8
0,36,7
2,13,7
0,36,6
2,13,6
1,2,5
0,36,5
2,13,5
1,2,6
4,13,4
1,2,7
4,13,3
4,13,2
0,12,11
7,12,10
3,12,13
0,12,12
3,12,14
0,24,4
3,12,2
6,29,17
4,12,1
6,29,16
2,29,15
2,29,14
0,35,9
3,12,9
0,35,8
2,12,8
0,35,7
0,12,7
0,35,6
2,12,6
2,29,13
0,35,5
2,12,5
2,29,12
0,35,4
4,12,4
6,9,1
2,29,11
3,12,3
6,9,2
6,29,10
6,9,3
3,9,4
3,9,5
3,9,6
0,9,7
0,9,8
0,9,9
2,28,15
6,28,16
7,28,13
2,28,14
6,28,17
6,23,9
6,23,8
6,23,7
6,23,6
7,28,11
7,28,12
0,23,4
7,28,10
0,23,3
0,19,9
1,19,8
0,19,7
7,17,13
1,19,6
1,17,14
3,19,5
0,17,15
5,19,4
6,23,16
0,17,10
7,17,11
7,17,12
7,7,11
0,34,10
7,7,10
3,11,3
5,11,2
5,23,10
5,11,1
6,23,11
6,23,12
6,23,13
6,23,14
6,23,15
7,19,3
0,19,2
4,11,9
0,19,1
4,11,8
2,11,7
2,11,6
0,34,5
4,11,5
0,34,4
4,11,4
3,8,3
0,34,3
3,8,4
1,16,14
3,8,5
1,16,13
3,8,6
1,16,12
2,8,7
2,8,8
2,8,9
0,16,11
6,16,10
0,22,3
6,22,9
6,22,8
4,22,11
6,22,10
6,22,7
6,22,6
6,22,5
0,22,4
7,11,10
0,18,9
0,18,8
0,11,12
1,18,7
0,11,11
2,18,6
3,18,5
3,11,13
6,10,3
0,33,3
3,10,4
6,10,1
5,10,2
5,18,4
5,18,3
4,10,9
7,18,2
0,33,9
0,33,8
0,18,1
4,10,7
4,10,8
4,10,5
3,7,3
4,10,6
3,7,4
0,33,4
