Fill,5
3,20,5,0
3,33,2,0
12,33,2,2
3,17,2,0
3,11,7,0
3,24,4,0
3,33,-3,0
3,34,0,0
3,29,9,0
3,21,3,0
3,26,0,0
17,34,0,2
3,25,-1,0
3,16,4,0
3,29,1,0
3,25,2,0
3,12,5,0
3,14,12,0
10,25,2,1
3,19,5,0
3,21,-2,0
3,31,6,0
3,23,7,0
3,14,0,0
3,30,0,0
3,10,9,0
3,21,10,0
3,18,11,0
3,13,2,0
3,30,8,0
3,28,4,0
3,22,1,0
3,15,6,0
3,18,7,0
3,26,8,0
3,22,9,0
3,16,12,0
3,32,4,0
3,14,8,0
3,27,6,0
3,28,11,0
3,20,4,0
3,33,3,0
3,29,0,0
3,25,10,0
15,20,4,2
3,23,-3,0
3,24,5,0
3,17,9,0
3,21,2,0
3,30,-1,0
3,34,1,0
9,34,1,1
17,29,8,2
3,11,8,0
3,17,1,0
3,28,-3,0
10,25,-2,1
3,16,3,0
3,25,-2,0
12,29,0,2
3,29,8,0
3,12,6,0
12,30,-1,2
3,25,3,0
17,27,-1,2
3,31,7,0
3,19,6,0
3,21,-1,0
3,30,1,0
3,18,0,0
13,30,1,2
3,18,10,0
3,13,1,0
3,15,5,0
3,26,1,0
3,30,9,0
3,28,5,0
3,22,0,0
16,26,1,2
3,32,5,0
3,18,8,0
3,16,11,0
3,13,9,0
3,26,9,0
3,22,8,0
3,27,7,0
3,23,6,0
3,27,-1,0
3,14,7,0
3,28,10,0
3,25,8,0
3,20,3,0
3,25,11,0
3,33,4,0
3,28,-2,0
9,33,4,1
3,21,9,0
3,11,5,0
3,17,4,0
10,24,2,1
3,24,2,0
14,33,-1,2
3,21,1,0
3,33,-1,0
9,29,-2,1
3,29,-2,0
3,34,2,0
3,29,10,0
3,16,6,0
3,29,3,0
9,29,3,1
3,25,0,0
3,25,-3,0
3,14,10,0
13,25,0,2
3,31,8,0
3,19,7,0
3,14,2,0
3,30,2,0
3,32,-2,0
3,22,7,0
3,31,0,0
3,15,8,0
3,28,2,0
3,18,-1,0
3,23,11,0
3,13,4,0
3,32,6,0
3,15,0,0
3,9,10,0
3,26,6,0
3,9,9,0
3,13,10,0
17,22,7,2
3,18,1,0
3,10,7,0
3,23,5,0
12,27,4,2
3,27,4,0
3,18,9,0
3,20,2,0
3,25,9,0
3,28,-1,0
3,33,5,0
3,17,3,0
3,11,6,0
10,24,3,1
3,24,3,0
3,29,-1,0
10,33,-2,1
3,33,-2,0
3,34,3,0
3,21,8,0
3,16,5,0
3,29,2,0
3,25,1,0
3,14,11,0
3,21,0,0
11,22,-1,1
3,22,-1,0
3,24,-3,0
3,31,9,0
3,14,1,0
3,32,-1,0
3,19,0,0
3,30,3,0
3,15,12,0
3,22,6,0
3,31,1,0
3,13,-1,0
3,28,3,0
3,19,8,0
3,13,3,0
3,15,7,0
3,23,10,0
3,9,8,0
3,32,7,0
3,26,7,0
3,18,2,0
3,23,4,0
3,24,11,0
3,10,8,0
3,19,-1,0
17,23,4,2
3,14,9,0
3,27,5,0
3,25,6,0
3,12,9,0
16,20,1,2
3,22,10,0
3,20,9,0
3,17,11,0
3,16,0,0
3,24,0,0
15,21,7,2
3,20,1,0
17,26,-1,2
3,17,6,0
3,26,-1,0
12,24,0,2
3,24,8,0
3,34,4,0
3,21,7,0
3,29,5,0
3,16,8,0
3,22,-2,0
3,14,4,0
3,27,2,0
3,19,1,0
17,31,2,2
3,31,2,0
3,30,4,0
3,15,11,0
3,28,8,0
3,22,5,0
3,19,9,0
3,10,10,0
3,26,4,0
3,13,6,0
3,9,7,0
3,20,11,0
3,28,0,0
3,15,2,0
3,32,8,0
3,13,12,0
3,18,3,0
17,32,0,2
3,23,3,0
3,20,-3,0
3,10,5,0
3,24,10,0
3,32,0,0
17,23,3,2
3,19,10,0
3,25,7,0
16,20,0,2
